Timestamp,Experiment Time (minutes),Reads,Selected Raw Samples,Selected Events,Estimated Bases
2023-11-23 08:27,3709,4626,662836057,13399178,12057160
2023-11-23 08:28,3710,4626,662836057,13399178,12057160
2023-11-23 08:29,3711,4626,662836057,13399178,12057160
2023-11-23 08:30,3712,4626,662836057,13399178,12057160
2023-11-23 08:31,3713,4626,662836057,13399178,12057160
2023-11-23 08:32,3714,4626,662836057,13399178,12057160
2023-11-23 08:33,3715,4626,662836057,13399178,12057160
2023-11-23 08:34,3716,4627,662858860,13399645,12057580
2023-11-23 08:35,3717,4628,663795338,13412183,12068864
2023-11-23 08:36,3718,4631,663850848,13413540,12070084
2023-11-23 08:37,3719,4634,663905457,13415752,12072073
2023-11-23 08:38,3720,4636,663981283,13416596,12072832
2023-11-23 08:39,3721,4638,664037816,13418079,12074166
2023-11-23 08:40,3722,4639,664069428,13418297,12074362
2023-11-23 08:41,3723,4639,664069428,13418297,12074362
2023-11-23 08:42,3724,4640,664770130,13438877,12092884
2023-11-23 08:43,3725,4642,665397153,13448844,12101854
2023-11-23 08:44,3726,4647,665581545,13450388,12103241
2023-11-23 08:45,3727,4648,665602030,13451062,12103847
2023-11-23 08:46,3728,4651,666161925,13456290,12108551
2023-11-23 08:47,3729,4652,666171181,13456697,12108917
2023-11-23 08:48,3730,4652,666171181,13456697,12108917
2023-11-23 08:49,3731,4654,666188729,13457222,12109388
2023-11-23 08:50,3732,4655,666211995,13458217,12110283
2023-11-23 08:51,3733,4656,667247930,13467017,12118203
2023-11-23 08:52,3734,4657,667257068,13467442,12118585
2023-11-23 08:53,3735,4658,667279961,13467587,12118715
2023-11-23 08:54,3736,4659,667500612,13468789,12119796
2023-11-23 08:55,3737,4660,667533832,13470330,12121182
2023-11-23 08:56,3738,4662,667547190,13470396,12121241
2023-11-23 08:57,3739,4662,667547190,13470396,12121241
2023-11-23 08:58,3740,4662,667547190,13470396,12121241
2023-11-23 08:59,3741,4662,667547190,13470396,12121241
2023-11-23 09:00,3742,4662,667547190,13470396,12121241
2023-11-23 09:01,3743,4662,667547190,13470396,12121241
2023-11-23 09:02,3744,4663,669207895,13508108,12155181
2023-11-23 09:03,3745,4663,669207895,13508108,12155181
2023-11-23 09:04,3746,4663,669207895,13508108,12155181
2023-11-23 09:05,3747,4663,669207895,13508108,12155181
2023-11-23 09:06,3748,4664,669217116,13508525,12155556
2023-11-23 09:07,3749,4665,669253509,13508869,12155865
2023-11-23 09:08,3750,4666,669279262,13509635,12156554
2023-11-23 09:09,3751,4666,669279262,13509635,12156554
2023-11-23 09:10,3752,4667,669312293,13509974,12156859
2023-11-23 09:11,3753,4668,669351853,13510373,12157218
2023-11-23 09:12,3754,4671,669422193,13511775,12158478
2023-11-23 09:13,3755,4672,669498298,13512617,12159235
2023-11-23 09:14,3756,4673,669532779,13513000,12159579
2023-11-23 09:15,3757,4675,669596067,13514001,12160479
2023-11-23 09:16,3758,4676,669770656,13515712,12162018
2023-11-23 09:17,3759,4680,670043321,13519476,12165403
2023-11-23 09:18,3760,4681,670088263,13520031,12165902
2023-11-23 09:19,3761,4681,670088263,13520031,12165902
2023-11-23 09:20,3762,4681,670088263,13520031,12165902
2023-11-23 09:21,3763,4681,670088263,13520031,12165902
2023-11-23 09:22,3764,4682,670097461,13520437,12166267
2023-11-23 09:23,3765,4682,670097461,13520437,12166267
2023-11-23 09:24,3766,4682,670097461,13520437,12166267
2023-11-23 09:25,3767,4682,670097461,13520437,12166267
2023-11-23 09:26,3768,4682,670097461,13520437,12166267
2023-11-23 09:27,3769,4682,670097461,13520437,12166267
2023-11-23 09:28,3770,4682,670097461,13520437,12166267
2023-11-23 09:29,3771,4682,670097461,13520437,12166267
2023-11-23 09:30,3772,4682,670097461,13520437,12166267
2023-11-23 09:31,3773,4682,670097461,13520437,12166267
2023-11-23 09:32,3774,4682,670097461,13520437,12166267
2023-11-23 09:33,3775,4682,670097461,13520437,12166267
2023-11-23 09:34,3776,4682,670097461,13520437,12166267
2023-11-23 09:35,3777,4683,670164522,13521090,12166854
2023-11-23 09:36,3778,4683,670164522,13521090,12166854
2023-11-23 09:37,3779,4683,670164522,13521090,12166854
2023-11-23 09:38,3780,4683,670164522,13521090,12166854
2023-11-23 09:39,3781,4683,670164522,13521090,12166854
2023-11-23 09:40,3782,4685,670214814,13521644,12167352
2023-11-23 09:41,3783,4685,670214814,13521644,12167352
2023-11-23 09:42,3784,4685,670214814,13521644,12167352
2023-11-23 09:43,3785,4685,670214814,13521644,12167352
2023-11-23 09:44,3786,4686,670262854,13522378,12168012
2023-11-23 09:45,3787,4686,670262854,13522378,12168012
2023-11-23 09:46,3788,4686,670262854,13522378,12168012
2023-11-23 09:47,3789,4686,670262854,13522378,12168012
2023-11-23 09:48,3790,4686,670262854,13522378,12168012
2023-11-23 09:49,3791,4686,670262854,13522378,12168012
2023-11-23 09:50,3792,4686,670262854,13522378,12168012
2023-11-23 09:51,3793,4687,670337984,13523254,12168800
2023-11-23 09:52,3794,4687,670337984,13523254,12168800
2023-11-23 09:53,3795,4688,670360999,13523588,12169100
2023-11-23 09:54,3796,4688,670360999,13523588,12169100
2023-11-23 09:55,3797,4688,670360999,13523588,12169100
2023-11-23 09:56,3798,4688,670360999,13523588,12169100
2023-11-23 09:57,3799,4688,670360999,13523588,12169100
2023-11-23 09:58,3800,4688,670360999,13523588,12169100
2023-11-23 09:59,3801,4688,670360999,13523588,12169100
2023-11-23 10:00,3802,4688,670360999,13523588,12169100
2023-11-23 10:01,3803,4688,670360999,13523588,12169100
2023-11-23 10:02,3804,4688,670360999,13523588,12169100
2023-11-23 10:03,3805,4688,670360999,13523588,12169100
2023-11-23 10:04,3806,4688,670360999,13523588,12169100
2023-11-23 10:05,3807,4688,670360999,13523588,12169100
2023-11-23 10:06,3808,4688,670360999,13523588,12169100
2023-11-23 10:07,3809,4688,670360999,13523588,12169100
2023-11-23 10:08,3810,4688,670360999,13523588,12169100
2023-11-23 10:09,3811,4688,670360999,13523588,12169100
2023-11-23 10:10,3812,4689,670395912,13524577,12169990
2023-11-23 10:11,3813,4689,670395912,13524577,12169990
2023-11-23 10:12,3814,4691,670489941,13525987,12171258
2023-11-23 10:13,3815,4693,670861784,13529393,12174322
2023-11-23 10:14,3816,4694,670906029,13529941,12174815
2023-11-23 10:15,3817,4694,670906029,13529941,12174815
2023-11-23 10:16,3818,4694,670906029,13529941,12174815
2023-11-23 10:17,3819,4694,670906029,13529941,12174815
2023-11-23 10:18,3820,4695,670921559,13530064,12174925
2023-11-23 10:19,3821,4696,671164971,13534438,12178861
2023-11-23 10:20,3822,4697,671181832,13534650,12179051
2023-11-23 10:21,3823,4698,671563469,13539039,12183001
2023-11-23 10:22,3824,4699,671719598,13542408,12186033
2023-11-23 10:23,3825,4699,671719598,13542408,12186033
2023-11-23 10:24,3826,4702,672143678,13548239,12191280
2023-11-23 10:25,3827,4703,672304130,13549985,12192851
2023-11-23 10:26,3828,4705,672541778,13552923,12195494
2023-11-23 10:27,3829,4706,672648118,13554226,12196666
2023-11-23 10:28,3830,4707,672733638,13554769,12197154
2023-11-23 10:29,3831,4708,672844056,13555854,12198130
2023-11-23 10:30,3832,4708,672844056,13555854,12198130
2023-11-23 10:31,3833,4709,673515238,13566915,12208084
2023-11-23 10:32,3834,4709,673515238,13566915,12208084
2023-11-23 10:33,3835,4710,673523706,13567027,12208184
2023-11-23 10:34,3836,4710,673523706,13567027,12208184
2023-11-23 10:35,3837,4712,673626645,13568029,12209085
2023-11-23 10:36,3838,4713,673633754,13568061,12209113
2023-11-23 10:37,3839,4713,673633754,13568061,12209113
2023-11-23 10:38,3840,4713,673633754,13568061,12209113
2023-11-23 10:39,3841,4713,673633754,13568061,12209113
2023-11-23 10:40,3842,4713,673633754,13568061,12209113
2023-11-23 10:41,3843,4714,673639918,13568145,12209188
2023-11-23 10:42,3844,4714,673639918,13568145,12209188
2023-11-23 10:43,3845,4714,673639918,13568145,12209188
2023-11-23 10:44,3846,4715,673725685,13568691,12209679
2023-11-23 10:45,3847,4715,673725685,13568691,12209679
2023-11-23 10:46,3848,4715,673725685,13568691,12209679
2023-11-23 10:47,3849,4715,673725685,13568691,12209679
2023-11-23 10:48,3850,4715,673725685,13568691,12209679
2023-11-23 10:49,3851,4716,673756899,13568910,12209876
2023-11-23 10:50,3852,4717,674072416,13571152,12211893
2023-11-23 10:51,3853,4718,674081254,13571427,12212140
2023-11-23 10:52,3854,4718,674081254,13571427,12212140
2023-11-23 10:53,3855,4718,674081254,13571427,12212140
2023-11-23 10:54,3856,4718,674081254,13571427,12212140
