Experiment Time (minutes),Reads,Basecalled Reads Passed,Basecalled Reads Failed,Basecalled Reads Skipped,Selected Raw Samples,Selected Events,Estimated Bases,Basecalled Bases,Basecalled Samples
306,81607,0,0,0,2033598146,40556441,36464074,0,0
307,81786,0,0,0,2039008981,40664755,36561476,0,0
308,81979,0,0,0,2043762141,40753883,36641608,0,0
309,82166,0,0,0,2050027784,40908250,36780457,0,0
310,82371,0,0,0,2054996503,41013283,36874888,0,0
311,82596,0,0,0,2063977630,41162280,37008883,0,0
312,82783,0,0,0,2069717926,41279349,37114162,0,0
313,82971,0,0,0,2074966731,41383045,37207407,0,0
314,83170,0,0,0,2082950364,41518368,37329109,0,0
315,83389,0,0,0,2091471297,41686911,37480702,0,0
316,83587,0,0,0,2095365713,41759811,37546214,0,0
317,83783,0,0,0,2100274308,41865695,37641423,0,0
318,84019,0,0,0,2106443504,41997027,37759520,0,0
319,84196,0,0,0,2113046642,42116259,37866748,0,0
320,84399,0,0,0,2119549278,42261972,37997799,0,0
321,84581,0,0,0,2124221039,42361104,38086936,0,0
322,84755,0,0,0,2128003248,42439604,38157508,0,0
323,84970,0,0,0,2134127584,42573774,38278166,0,0
324,85177,0,0,0,2139005392,42676780,38370781,0,0
325,85352,0,0,0,2144399497,42790010,38472612,0,0
326,85560,0,0,0,2150559122,42909911,38580427,0,0
327,85752,0,0,0,2158778737,43055412,38711288,0,0
328,85928,0,0,0,2164324294,43164782,38809636,0,0
329,86102,0,0,0,2171086773,43330574,38958760,0,0
330,86295,0,0,0,2180577338,43499176,39110413,0,0
331,86515,0,0,0,2186851222,43628772,39226952,0,0
332,86708,0,0,0,2192522522,43744133,39330687,0,0
333,86911,0,0,0,2202376636,43960666,39525477,0,0
334,87098,0,0,0,2209083338,44105094,39655381,0,0
335,87279,0,0,0,2215461967,44226701,39764744,0,0
336,87445,0,0,0,2220080005,44325965,39854004,0,0
337,87639,0,0,0,2228530659,44509486,40019088,0,0
338,87828,0,0,0,2234013101,44618362,40116992,0,0
339,88025,0,0,0,2245412007,44849804,40325200,0,0
340,88228,0,0,0,2255046814,45013588,40472510,0,0
341,88406,0,0,0,2262071747,45152473,40597427,0,0
342,88581,0,0,0,2273836576,45434070,40850793,0,0
343,88754,0,0,0,2279044781,45546814,40952187,0,0
344,88940,0,0,0,2289484549,45771509,41154327,0,0
345,89109,0,0,0,2294171539,45863744,41237258,0,0
346,89284,0,0,0,2299920289,45982393,41343958,0,0
347,89466,0,0,0,2309552252,46204906,41544139,0,0
348,89672,0,0,0,2315116605,46337710,41663567,0,0
349,89852,0,0,0,2321929254,46463360,41776574,0,0
350,90020,0,0,0,2325333608,46536717,41842523,0,0
351,90225,0,0,0,2335200790,46729271,42015727,0,0
352,90401,0,0,0,2344314785,46912315,42180386,0,0
353,90588,0,0,0,2349691553,47029759,42286005,0,0
354,90768,0,0,0,2356778257,47185467,42426062,0,0
355,90959,0,0,0,2366383211,47346524,42570929,0,0
356,91118,0,0,0,2370957875,47442282,42657037,0,0
357,91305,0,0,0,2377264285,47572925,42774536,0,0
358,91487,0,0,0,2382408995,47683944,42874374,0,0
359,91673,0,0,0,2388567356,47831980,43007523,0,0
360,91868,0,0,0,2394915794,47958719,43121502,0,0
361,92050,0,0,0,2400280658,48067635,43219442,0,0
362,92233,0,0,0,2408686139,48228398,43364047,0,0
363,92408,0,0,0,2413225385,48321742,43447977,0,0
364,92576,0,0,0,2421312931,48461002,43573228,0,0
365,92731,0,0,0,2426022905,48567291,43668818,0,0
366,92924,0,0,0,2433915987,48733330,43818169,0,0
367,93091,0,0,0,2439577871,48840543,43914590,0,0
368,93260,0,0,0,2445033496,48949246,44012346,0,0
369,93431,0,0,0,2456850397,49159497,44201494,0,0
370,93604,0,0,0,2464158124,49322317,44347952,0,0
371,93765,0,0,0,2470084728,49428848,44443753,0,0
372,93924,0,0,0,2479648341,49564106,44565417,0,0
373,94068,0,0,0,2483697436,49639772,44633447,0,0
374,94122,0,0,0,2504520559,50061677,45013133,0,0
375,94122,0,0,0,2504520559,50061677,45013133,0,0
376,94183,0,0,0,2505355829,50078716,45028440,0,0
377,94242,0,0,0,2506220026,50095789,45043777,0,0
378,94435,0,0,0,2509297995,50161973,45103261,0,0
379,94628,0,0,0,2513604422,50259068,45190558,0,0
380,94806,0,0,0,2518089272,50350854,45273080,0,0
381,94991,0,0,0,2522367880,50442411,45355403,0,0
382,95173,0,0,0,2527451402,50552352,45454266,0,0
383,95376,0,0,0,2532371250,50652090,45543936,0,0
384,95579,0,0,0,2536191230,50727207,45611446,0,0
385,95761,0,0,0,2540126046,50801214,45677968,0,0
386,95935,0,0,0,2544202613,50879628,45748469,0,0
387,96128,0,0,0,2550530201,51007005,45863019,0,0
388,96314,0,0,0,2556447178,51133509,45976794,0,0
389,96484,0,0,0,2564196652,51296512,46123415,0,0
390,96673,0,0,0,2569169055,51392390,46209628,0,0
391,96853,0,0,0,2574470350,51501654,46307889,0,0
392,97055,0,0,0,2580151471,51615918,46410632,0,0
393,97220,0,0,0,2584906341,51706552,46492130,0,0
394,97391,0,0,0,2589399790,51793124,46569974,0,0
395,97554,0,0,0,2594342347,51893416,46660164,0,0
396,97735,0,0,0,2597828269,51967341,46726612,0,0
397,97902,0,0,0,2603949378,52084112,46831626,0,0
398,98069,0,0,0,2610811124,52204430,46939832,0,0
399,98240,0,0,0,2616981429,52319155,47043009,0,0
400,98401,0,0,0,2620971502,52398365,47114223,0,0
401,98547,0,0,0,2625843190,52522861,47226205,0,0
402,98702,0,0,0,2630926511,52632795,47325077,0,0
403,98883,0,0,0,2636348753,52746608,47427428,0,0
404,99040,0,0,0,2639871732,52821635,47494879,0,0
405,99215,0,0,0,2646419702,52968074,47626597,0,0
406,99375,0,0,0,2650648933,53046023,47696682,0,0
407,99529,0,0,0,2656147085,53160023,47799214,0,0
408,99695,0,0,0,2660776898,53261636,47890600,0,0
409,99873,0,0,0,2670246064,53431167,48043098,0,0
410,100037,0,0,0,2675839126,53551829,48151617,0,0
411,100206,0,0,0,2680504391,53637479,48228630,0,0
412,100350,0,0,0,2684320885,53723290,48305792,0,0
413,100514,0,0,0,2688402784,53808946,48382812,0,0
414,100661,0,0,0,2691483147,53870557,48438196,0,0
415,100822,0,0,0,2700448702,53999957,48554588,0,0
416,100997,0,0,0,2705617547,54121845,48664209,0,0
417,101148,0,0,0,2709139610,54199819,48734310,0,0
418,101290,0,0,0,2716582996,54359178,48877660,0,0
419,101427,0,0,0,2719531650,54422004,48934146,0,0
420,101589,0,0,0,2724488828,54528808,49030200,0,0
421,101753,0,0,0,2737640840,54714061,49196850,0,0
422,101898,0,0,0,2740270305,54766453,49243934,0,0
423,102038,0,0,0,2745476965,54870401,49337425,0,0
424,102197,0,0,0,2749960895,54948764,49407880,0,0
425,102356,0,0,0,2756193999,55068463,49515536,0,0
426,102508,0,0,0,2760859657,55166030,49603281,0,0
427,102658,0,0,0,2764135938,55234509,49664852,0,0
428,102822,0,0,0,2768605956,55327960,49748884,0,0
429,102977,0,0,0,2774639400,55471475,49877982,0,0
430,103115,0,0,0,2779347934,55582331,49977684,0,0
431,103269,0,0,0,2789118999,55812626,50184875,0,0
432,103413,0,0,0,2794402915,55923192,50284316,0,0
433,103558,0,0,0,2800702632,56018699,50370205,0,0
