Experiment Time (minutes),Reads,Basecalled Reads Passed,Basecalled Reads Failed,Basecalled Reads Skipped,Selected Raw Samples,Selected Events,Estimated Bases,Basecalled Bases,Basecalled Samples
301,3062,0,0,0,293292046,6272366,5643725,0,0
302,3070,0,0,0,294717526,6305175,5673249,0,0
303,3076,0,0,0,296265481,6338049,5702832,0,0
304,3083,0,0,0,297053826,6358269,5721026,0,0
305,3093,0,0,0,299976663,6403245,5761499,0,0
306,3099,0,0,0,300538642,6412477,5769805,0,0
307,3109,0,0,0,304429283,6521472,5867895,0,0
308,3115,0,0,0,304802600,6527639,5873443,0,0
309,3118,0,0,0,305015956,6531136,5876589,0,0
310,3127,0,0,0,305548556,6541029,5885488,0,0
311,3134,0,0,0,306321516,6555397,5898417,0,0
312,3137,0,0,0,306796214,6562174,5904514,0,0
313,3139,0,0,0,306817938,6562644,5904936,0,0
314,3147,0,0,0,307327284,6573031,5914280,0,0
315,3154,0,0,0,307845683,6582721,5922999,0,0
316,3158,0,0,0,310415365,6621882,5958242,0,0
317,3163,0,0,0,311118323,6641680,5976059,0,0
318,3174,0,0,0,312269534,6671228,6002646,0,0
319,3180,0,0,0,312677167,6677418,6008215,0,0
320,3191,0,0,0,313133807,6686489,6016374,0,0
321,3198,0,0,0,313756602,6697547,6026323,0,0
322,3203,0,0,0,314079385,6704351,6032444,0,0
323,3207,0,0,0,314241403,6707848,6035590,0,0
324,3214,0,0,0,314572612,6714289,6041384,0,0
325,3219,0,0,0,315514548,6737185,6061988,0,0
326,3222,0,0,0,315700318,6740951,6065377,0,0
327,3222,0,0,0,315700318,6740951,6065377,0,0
328,3232,0,0,0,317948353,6777854,6098586,0,0
329,3238,0,0,0,318201560,6783984,6104100,0,0
330,3242,0,0,0,318550900,6792902,6112124,0,0
331,3249,0,0,0,319413217,6809979,6127490,0,0
332,3253,0,0,0,319566380,6812820,6130045,0,0
333,3256,0,0,0,319784596,6818393,6135059,0,0
334,3259,0,0,0,319845427,6819779,6136304,0,0
335,3266,0,0,0,320364421,6832341,6147606,0,0
336,3272,0,0,0,320906497,6845725,6159649,0,0
337,3281,0,0,0,329322662,7038420,6333070,0,0
338,3285,0,0,0,330529424,7067538,6359275,0,0
339,3291,0,0,0,331068586,7077484,6368224,0,0
340,3296,0,0,0,331465773,7086492,6376329,0,0
341,3306,0,0,0,332389078,7098907,6387498,0,0
342,3312,0,0,0,332712513,7106676,6394489,0,0
343,3322,0,0,0,333273385,7123653,6409764,0,0
344,3326,0,0,0,333717109,7133336,6418476,0,0
345,3331,0,0,0,335420085,7160841,6443228,0,0
346,3339,0,0,0,336065640,7173635,6454740,0,0
347,3346,0,0,0,336569903,7182158,6462408,0,0
348,3351,0,0,0,336836520,7185783,6465669,0,0
349,3357,0,0,0,337067962,7190937,6470306,0,0
350,3364,0,0,0,338400918,7210403,6487822,0,0
351,3371,0,0,0,339643745,7235248,6510180,0,0
352,3374,0,0,0,340133779,7243260,6517389,0,0
353,3375,0,0,0,340318011,7248435,6522046,0,0
354,3380,0,0,0,341662232,7282232,6552461,0,0
355,3385,0,0,0,345420355,7383702,6643781,0,0
356,3388,0,0,0,345647070,7387466,6647167,0,0
357,3391,0,0,0,345799307,7391017,6650361,0,0
358,3399,0,0,0,346183558,7397092,6655824,0,0
359,3403,0,0,0,347052692,7408382,6665983,0,0
360,3409,0,0,0,350596398,7478550,6729131,0,0
361,3417,0,0,0,350852510,7483861,6733907,0,0
362,3424,0,0,0,353073949,7524998,6770927,0,0
363,3430,0,0,0,353722439,7534753,6779704,0,0
364,3438,0,0,0,355049065,7561834,6804074,0,0
365,3445,0,0,0,355449763,7570202,6811602,0,0
366,3448,0,0,0,356034590,7582720,6822867,0,0
367,3453,0,0,0,357270933,7608172,6845771,0,0
368,3456,0,0,0,357891684,7616900,6853625,0,0
369,3460,0,0,0,358014912,7619475,6855941,0,0
370,3465,0,0,0,358488748,7628048,6863653,0,0
371,3476,0,0,0,360696940,7674148,6905138,0,0
372,3476,0,0,0,360696940,7674148,6905138,0,0
373,3482,0,0,0,360857686,7677017,6907717,0,0
374,3486,0,0,0,360921247,7678344,6908909,0,0
375,3489,0,0,0,361042244,7681019,6911315,0,0
376,3496,0,0,0,361683503,7693597,6922631,0,0
377,3505,0,0,0,362558739,7719423,6945870,0,0
378,3512,0,0,0,363511636,7742464,6966603,0,0
379,3521,0,0,0,364497779,7762720,6984831,0,0
380,3526,0,0,0,364699153,7767507,6989137,0,0
381,3531,0,0,0,364864156,7770717,6992024,0,0
382,3540,0,0,0,367598004,7833189,7048244,0,0
383,3542,0,0,0,368054402,7841664,7055870,0,0
384,3556,0,0,0,369886614,7887469,7097087,0,0
385,3562,0,0,0,370649014,7900852,7109129,0,0
386,3567,0,0,0,371289780,7917815,7124393,0,0
387,3571,0,0,0,371731992,7927075,7132725,0,0
388,3580,0,0,0,372962361,7952337,7155457,0,0
389,3588,0,0,0,374087785,7983200,7183230,0,0
390,3594,0,0,0,374380681,7988433,7187937,0,0
391,3603,0,0,0,375647017,8011234,7208453,0,0
392,3606,0,0,0,376017435,8026141,7221867,0,0
393,3608,0,0,0,376284117,8034477,7229368,0,0
394,3619,0,0,0,377798072,8071629,7262800,0,0
395,3625,0,0,0,380732181,8125572,7311347,0,0
396,3633,0,0,0,381446217,8138085,7322605,0,0
397,3642,0,0,0,382338369,8158892,7341327,0,0
398,3652,0,0,0,383041544,8175427,7356204,0,0
399,3658,0,0,0,383543180,8186005,7365721,0,0
400,3669,0,0,0,384502143,8205423,7383193,0,0
401,3673,0,0,0,387480245,8242272,7416356,0,0
402,3679,0,0,0,389405019,8260094,7432392,0,0
403,3686,0,0,0,390044758,8271747,7442876,0,0
404,3693,0,0,0,391391913,8289918,7459225,0,0
405,3699,0,0,0,392188338,8305715,7473440,0,0
406,3708,0,0,0,393100888,8329040,7494429,0,0
407,3714,0,0,0,393996002,8344111,7507990,0,0
408,3719,0,0,0,394528405,8355332,7518087,0,0
409,3723,0,0,0,394807769,8360930,7523123,0,0
410,3732,0,0,0,395556051,8382329,7542378,0,0
411,3743,0,0,0,396029792,8395252,7554003,0,0
412,3750,0,0,0,396278306,8403654,7561561,0,0
413,3759,0,0,0,396615185,8411581,7568691,0,0
414,3764,0,0,0,396828391,8417516,7574029,0,0
415,3769,0,0,0,400509925,8491923,7640993,0,0
416,3774,0,0,0,400860520,8500096,7648346,0,0
417,3778,0,0,0,401621513,8517317,7663843,0,0
418,3785,0,0,0,401941856,8526500,7672105,0,0
419,3791,0,0,0,402446764,8538825,7683195,0,0
420,3796,0,0,0,402700266,8546870,7690434,0,0
421,3801,0,0,0,404933262,8589667,7728949,0,0
422,3807,0,0,0,405302628,8599454,7737754,0,0
423,3809,0,0,0,405648924,8612847,7749807,0,0
424,3814,0,0,0,406869389,8644402,7778204,0,0
425,3816,0,0,0,406991075,8648910,7782260,0,0
426,3822,0,0,0,407203414,8652300,7785307,0,0
427,3826,0,0,0,407545254,8661752,7793812,0,0
428,3832,0,0,0,407866326,8667590,7799064,0,0
429,3836,0,0,0,408009004,8669973,7801207,0,0
430,3840,0,0,0,408547452,8677456,7807940,0,0
431,3845,0,0,0,408838712,8685940,7815572,0,0
432,3849,0,0,0,410503261,8731925,7856956,0,0
433,3855,0,0,0,411000294,8742054,7866068,0,0
434,3860,0,0,0,411174071,8745908,7869534,0,0
435,3867,0,0,0,413717227,8826786,7942321,0,0
436,3869,0,0,0,413820329,8829984,7945198,0,0
437,3876,0,0,0,414649989,8845215,7958902,0,0
438,3880,0,0,0,414753127,8847778,7961207,0,0
439,3886,0,0,0,414945127,8853034,7965935,0,0
440,3894,0,0,0,416098670,8876891,7987403,0,0
441,3895,0,0,0,416288523,8878542,7988888,0,0
442,3900,0,0,0,416596564,8883994,7993793,0,0
443,3904,0,0,0,417987232,8901084,8009173,0,0
444,3907,0,0,0,418301638,8905569,8013208,0,0
445,3910,0,0,0,418437792,8908960,8016259,0,0
446,3921,0,0,0,419224597,8928213,8033583,0,0
447,3927,0,0,0,420188331,8942849,8046753,0,0
448,3932,0,0,0,421747430,8973509,8074344,0,0
449,3938,0,0,0,428865653,9129561,8214789,0,0
450,3944,0,0,0,431579179,9185024,8264703,0,0
451,3947,0,0,0,431788553,9187739,8267146,0,0
452,3951,0,0,0,432155280,9198350,8276694,0,0
453,3955,0,0,0,432377475,9205037,8282710,0,0
454,3960,0,0,0,432765670,9216674,8293181,0,0
455,3964,0,0,0,433078099,9221682,8297686,0,0
456,3967,0,0,0,433129005,9222615,8298524,0,0
457,3974,0,0,0,433989319,9242956,8316829,0,0
458,3978,0,0,0,434786858,9259440,8331663,0,0
459,3981,0,0,0,434900311,9260766,8332855,0,0
460,3989,0,0,0,435365274,9272221,8343161,0,0
461,3990,0,0,0,435430769,9273464,8344279,0,0
462,3995,0,0,0,435729009,9282382,8352302,0,0
463,3999,0,0,0,436849475,9299168,8367407,0,0
464,4004,0,0,0,437032328,9303069,8370917,0,0
465,4004,0,0,0,437032328,9303069,8370917,0,0
466,4008,0,0,0,437124492,9304507,8372210,0,0
467,4010,0,0,0,437156965,9304956,8372614,0,0
468,4014,0,0,0,437312040,9307635,8375024,0,0
469,4019,0,0,0,437821119,9316715,8383193,0,0
