Experiment Time (minutes),Reads,Basecalled Reads Passed,Basecalled Reads Failed,Basecalled Reads Skipped,Selected Raw Samples,Selected Events,Estimated Bases,Basecalled Bases,Basecalled Samples
3633,102752,0,0,0,4961006893,100768264,90645305,0,0
3634,102756,0,0,0,4961289585,100773317,90649850,0,0
3635,102763,0,0,0,4961680228,100781132,90656881,0,0
3636,102766,0,0,0,4961799178,100784140,90659586,0,0
3637,102778,0,0,0,4963326022,100815326,90687648,0,0
3638,102785,0,0,0,4963614708,100821724,90693403,0,0
3639,102795,0,0,0,4964472245,100838105,90708141,0,0
3640,102802,0,0,0,4965099331,100846810,90715973,0,0
3641,102812,0,0,0,4967178138,100889303,90754213,0,0
3642,102824,0,0,0,4968237460,100910048,90772879,0,0
3643,102838,0,0,0,4969492815,100935841,90796086,0,0
3644,102842,0,0,0,4969881493,100942803,90802349,0,0
3645,102856,0,0,0,4972522962,100992308,90846899,0,0
3646,102864,0,0,0,4973558624,101012884,90865415,0,0
3647,102870,0,0,0,4973772372,101015732,90867975,0,0
3648,102875,0,0,0,4974827788,101032006,90882619,0,0
3649,102883,0,0,0,4975157990,101036406,90886576,0,0
3650,102887,0,0,0,4975883159,101050751,90899485,0,0
3651,102890,0,0,0,4976238177,101055984,90904192,0,0
3652,102896,0,0,0,4977077271,101073045,90919544,0,0
3653,102898,0,0,0,4977398715,101080533,90926282,0,0
3654,102904,0,0,0,4977494731,101082265,90927839,0,0
3655,102909,0,0,0,4978524595,101109580,90952420,0,0
3656,102912,0,0,0,4978674948,101113209,90955684,0,0
3657,102916,0,0,0,4979314082,101128878,90969784,0,0
3658,102923,0,0,0,4980250947,101149258,90988122,0,0
3659,102928,0,0,0,4980648473,101162045,90999627,0,0
3660,102931,0,0,0,4980813866,101165906,91003101,0,0
3661,102936,0,0,0,4981702213,101187101,91022174,0,0
3662,102949,0,0,0,4982213861,101194050,91028423,0,0
3663,102958,0,0,0,4983101483,101210725,91043427,0,0
3664,102959,0,0,0,4984248104,101233693,91064098,0,0
3665,102963,0,0,0,4985007991,101248887,91077770,0,0
3666,102965,0,0,0,4985057765,101249577,91078390,0,0
3667,102969,0,0,0,4985971811,101268271,91095213,0,0
3668,102970,0,0,0,4985989350,101268433,91095358,0,0
3669,102972,0,0,0,4986270307,101277374,91103404,0,0
3670,102975,0,0,0,4986300784,101277915,91103890,0,0
3671,102975,0,0,0,4986300784,101277915,91103890,0,0
3672,102980,0,0,0,4986411125,101279803,91105588,0,0
3673,102982,0,0,0,4986430857,101280215,91105958,0,0
3674,102983,0,0,0,4986438114,101280428,91106149,0,0
3675,102985,0,0,0,4986497969,101281862,91107439,0,0
3676,102987,0,0,0,4986605192,101283530,91108939,0,0
3677,102989,0,0,0,4986647676,101284131,91109479,0,0
3678,102991,0,0,0,4987135611,101290030,91114787,0,0
3679,102996,0,0,0,4987883151,101296652,91120745,0,0
3680,102996,0,0,0,4987883151,101296652,91120745,0,0
3681,102996,0,0,0,4987883151,101296652,91120745,0,0
3682,102998,0,0,0,4988087871,101301528,91125132,0,0
3683,103000,0,0,0,4988216322,101303520,91126924,0,0
3684,103002,0,0,0,4988249864,101304224,91127556,0,0
3685,103004,0,0,0,4988343477,101306494,91129599,0,0
3686,103004,0,0,0,4988343477,101306494,91129599,0,0
3687,103005,0,0,0,4988410957,101306938,91129998,0,0
3688,103005,0,0,0,4988410957,101306938,91129998,0,0
3689,103006,0,0,0,4988442906,101307548,91130547,0,0
3690,103008,0,0,0,4988463736,101308036,91130985,0,0
3691,103008,0,0,0,4988463736,101308036,91130985,0,0
